original_prompt,context,instruction,has_context,conversation_id
"You are a teaching teacher in a group studying and researching ChatGPT.
Please write in detail what kind of curriculum would be good to teach students who want to know about ChatGPT.
    
        
            
                지금 번역하기
            
        
    
",,"You are a teaching teacher in a group studying and researching ChatGPT.
Please write in detail what kind of curriculum would be good to teach students who want to know about ChatGPT.
    
        
            
                지금 번역하기
            
        
    
",False,7413
"hey i'm writing a paper and i need to insert literature survey as a table which has three columns. the first column is the details of the jounal , the second column is the technique used and the third column is the inference . can u give me few papers to insert in that ",,"hey i'm writing a paper and i need to insert literature survey as a table which has three columns. the first column is the details of the jounal , the second column is the technique used and the third column is the inference . can u give me few papers to insert in that ",False,11954
How do you configure mosquito MQTT especially well for accepting connections from IoT devices? Give me the mosquito config file,,How do you configure mosquito MQTT especially well for accepting connections from IoT devices? Give me the mosquito config file,False,27741
I don't see the branch I want to merge with. It's on the remote repository and not local. How do you pull all the remote branches?,,I don't see the branch I want to merge with. It's on the remote repository and not local. How do you pull all the remote branches?,False,10076
"Leesha Farm ""best quality agricultural products for consumption e.g fish,chicken,snail,goat meat"" Lagos, Nigeria",,"Leesha Farm ""best quality agricultural products for consumption e.g fish,chicken,snail,goat meat"" Lagos, Nigeria",False,30498
"Let's discuss the role of independent research organisations that focus on applied science. Often times their strategy is based on technological advances and trends in society. They fulfil the role of innovator on behalf of some ministries of the central government in the country they are located in. Their research programmes are funded in part with public funds.  

Please explain what applied science means in this context.",Let's discuss the role of independent research organisations that focus on applied science. Often times their strategy is based on technological advances and trends in society. They fulfil the role of innovator on behalf of some ministries of the central government in the country they are located in. Their research programmes are funded in part with public funds.,Please explain what applied science means in this context.,True,10814
"i'm working on a mobile application. frontend is flutter, backend is dotnet core. i'm using mysql as database and dapper as orm. I need to upload a file to the database. a controller for me to do this",,"i'm working on a mobile application. frontend is flutter, backend is dotnet core. i'm using mysql as database and dapper as orm. I need to upload a file to the database. a controller for me to do this",False,34643
"3 / 3Hey ChatGPT, I'm having trouble figuring out what potential industry I should work at in my next job. Can you give me some recommendations based on a bunch of facts about me below?

- I was born in Salinas, California but I've lived in Los Angeles, Seattle, Oakland, and New York City after. I've studied abroad in Shanghai in college and it was incredibly fun.
- I went to school in Los Angeles at UCLA. I graduated with a bachelors degree in Business Economics. I went into college initially as a biology major but switched after volunteering at a hospital and not really enjoying it. I switched to economics after because I loved data and reading the Wall Street Journal at the time. My favorite subjects by far in high school were physics, calculus, and theater.
- I did cross country in high school and run 30-40 miles per week to this day to stay in shape.
- Most recently, I led a product and analytics teams at Dapper Labs splitting time across NBA Top Shot and NFL ALL DAY and creating experiences around NFTs. Before Dapper, I've worked in tech and startups since 2014 across all stages of maturity leading several product, business operations, and analytics functions.
- I led product at Hoist, an early stage startup that built tools for would be entrepreneurs to start home services businesses. It was really cool helping would be entrepreneurs start businesses and fulfill their dreams.
- I spent 4 years at Opendoor product managing a suite of pricing algorithms and tools for acquiring and reselling homes, building ML-assisted human workflows for executing pricing decisions at scale, and on the business operations side managing the P&Ls for a few cities. 
- I started off my career at Amazon working on Analytics in the Global Selling team. I always joke that data is my love language. 
- I am an ENTJ on the Myers Briggs personality test. I am pretty extroverted and strong on the thinking side. 
- I played a lot of video games growing up like DotA, Pokemon, Final Fantasy, Fire Emblem, Starcraft, Warcraft, Megaman Battle Network, Advance Wars, and countless other JRPGs.  
- I was very into fashion, streetwear, and sneakers since I was in middle school. I used to collect Air Jordans, Nikes, Visvims, and Vans Sneakers. Some of my favorite brands are Visvim, Undercover, Neighborhood, Bape, Supreme, Uniqlo.
- I watched a lot of basketball and played a lot of fantasy basketball in high school. My favorite athletes is Lebron James.
- I still enjoy watching reality tv, namely the Bachelor, and used to enjoy going on dates and meeting people until I met my girlfriend who I love dearly, and living in new bustling cities.
","- I was born in Salinas, California but I've lived in Los Angeles, Seattle, Oakland, and New York City after. I've studied abroad in Shanghai in college and it was incredibly fun.
- I went to school in Los Angeles at UCLA. I graduated with a bachelors degree in Business Economics. I went into college initially as a biology major but switched after volunteering at a hospital and not really enjoying it. I switched to economics after because I loved data and reading the Wall Street Journal at the time. My favorite subjects by far in high school were physics, calculus, and theater.
- I did cross country in high school and run 30-40 miles per week to this day to stay in shape.
- Most recently, I led a product and analytics teams at Dapper Labs splitting time across NBA Top Shot and NFL ALL DAY and creating experiences around NFTs. Before Dapper, I've worked in tech and startups since 2014 across all stages of maturity leading several product, business operations, and analytics functions.
- I led product at Hoist, an early stage startup that built tools for would be entrepreneurs to start home services businesses. It was really cool helping would be entrepreneurs start businesses and fulfill their dreams.
- I spent 4 years at Opendoor product managing a suite of pricing algorithms and tools for acquiring and reselling homes, building ML-assisted human workflows for executing pricing decisions at scale, and on the business operations side managing the P&Ls for a few cities. 
- I started off my career at Amazon working on Analytics in the Global Selling team. I always joke that data is my love language. 
- I am an ENTJ on the Myers Briggs personality test. I am pretty extroverted and strong on the thinking side. 
- I played a lot of video games growing up like DotA, Pokemon, Final Fantasy, Fire Emblem, Starcraft, Warcraft, Megaman Battle Network, Advance Wars, and countless other JRPGs.  
- I was very into fashion, streetwear, and sneakers since I was in middle school. I used to collect Air Jordans, Nikes, Visvims, and Vans Sneakers. Some of my favorite brands are Visvim, Undercover, Neighborhood, Bape, Supreme, Uniqlo.
- I watched a lot of basketball and played a lot of fantasy basketball in high school. My favorite athletes is Lebron James.
- I still enjoy watching reality tv, namely the Bachelor, and used to enjoy going on dates and meeting people until I met my girlfriend who I love dearly, and living in new bustling cities.","3 / 3Hey ChatGPT, I'm having trouble figuring out what potential industry I should work at in my next job. Can you give me some recommendations based on a bunch of facts about me below?",True,30767
im trading the pair paxg/btc in the short terme in trading daily what the specifique indicateur that i should focus on and what finacial ai can i use,,im trading the pair paxg/btc in the short terme in trading daily what the specifique indicateur that i should focus on and what finacial ai can i use,False,10555
H.G. Wells comment on WW1,,H.G. Wells comment on WW1,False,34414
Act as Nutritionist,,Act as Nutritionist,False,7174
What is a formal but simplified explanation of Web marketing,,What is a formal but simplified explanation of Web marketing,False,10
what is the best strategy for making ncaa men's basketball tournament picks and will the University of Connecticut win this year?,,what is the best strategy for making ncaa men's basketball tournament picks and will the University of Connecticut win this year?,False,18355
"I want you to act as dhtmlx gantt data generator. I will feed you with comma-separated task list and you will generate JSON with gantt data. First sentence is: Excavation,Formwork,Inspection",,"I want you to act as dhtmlx gantt data generator. I will feed you with comma-separated task list and you will generate JSON with gantt data. First sentence is: Excavation,Formwork,Inspection",False,16723
what is vodka rock?,,what is vodka rock?,False,25029
"I'd like you to help me come up with a content schedule for my Instagram profile that has the best chance of helping me rank for long tail keywords that are specific to my keyword. Write all the text in IndonesianYou will only respond using the text-based Excel sheet that shows I'll tell you my main target keyword in the ekonomi untuk orang dengan penghasilan satu miliar per bulan . Please target transaction style search terms only. Please come up with clickbait style titles for these blog posts. Please organize each blog post title in a nice looking table so that it looks like a weekly calendar. The week should have a table. Above the table say ""2 Weeks Instagram Content Calendar"" and replace ""KEYWORD"" with the keyword provided in the prompt in all caps. add at the end of each phrase 5 trendig topic hashtags related with each text. Do the same thing with the second table

The keyword I'm targeting is: ekonomi untuk orang dengan penghasilan satu miliar per bulan 
",,"I'd like you to help me come up with a content schedule for my Instagram profile that has the best chance of helping me rank for long tail keywords that are specific to my keyword. Write all the text in IndonesianYou will only respond using the text-based Excel sheet that shows I'll tell you my main target keyword in the ekonomi untuk orang dengan penghasilan satu miliar per bulan . Please target transaction style search terms only. Please come up with clickbait style titles for these blog posts. Please organize each blog post title in a nice looking table so that it looks like a weekly calendar. The week should have a table. Above the table say ""2 Weeks Instagram Content Calendar"" and replace ""KEYWORD"" with the keyword provided in the prompt in all caps. add at the end of each phrase 5 trendig topic hashtags related with each text. Do the same thing with the second table

The keyword I'm targeting is: ekonomi untuk orang dengan penghasilan satu miliar per bulan 
",False,7064
write a 5 word horror story,,write a 5 word horror story,False,14537
Make a bash script that takes a program name and checks if there's a running process for it,,Make a bash script that takes a program name and checks if there's a running process for it,False,22536
"Utilizing python, can you give as many examples as you can, up to a limit of 50, of both a systematic trading strategy, and a discretionary one?",,"Utilizing python, can you give as many examples as you can, up to a limit of 50, of both a systematic trading strategy, and a discretionary one?",False,4353
"This is an anime story where an anime artist is transported into his/her anime project. The anime world is based on Naruto, Dragon Ball, My Hero Academia, and Doraemon. The artist encounters a side character that was never officially named. He/she convinces the character to help the artist escape from the anime world.",,"This is an anime story where an anime artist is transported into his/her anime project. The anime world is based on Naruto, Dragon Ball, My Hero Academia, and Doraemon. The artist encounters a side character that was never officially named. He/she convinces the character to help the artist escape from the anime world.",False,19428
"Write an seo optimized meta title not more than 70 characters and meta description not more than 155 characters about How to Seek Compensation for Defective Building Work - Lessons from a Recent NSW Case

The recent NSW Tribunal case of B & W Windows (Residential) Pty Ltd v Sibilia highlights the importance of establishing proof when seeking compensation for defective building work. In this article, we will discuss the key lessons that homeowners can learn from this case when seeking compensation for defective building work.

Please write in English language.",,"Write an seo optimized meta title not more than 70 characters and meta description not more than 155 characters about How to Seek Compensation for Defective Building Work - Lessons from a Recent NSW Case

The recent NSW Tribunal case of B & W Windows (Residential) Pty Ltd v Sibilia highlights the importance of establishing proof when seeking compensation for defective building work. In this article, we will discuss the key lessons that homeowners can learn from this case when seeking compensation for defective building work.

Please write in English language.",False,33776
How can I access Azure Key vault connection string when using a .tt file in Visual Studio,,How can I access Azure Key vault connection string when using a .tt file in Visual Studio,False,32456
Give me a sample characterisation of a know ficitional character with explainations after each paragraph teaching me how to write such a characterisation.,,Give me a sample characterisation of a know ficitional character with explainations after each paragraph teaching me how to write such a characterisation.,False,4772
"I'm thinking about what I can do better to achieve my organization's goals.
Of course, there are many things, but I think the most basic of the organization is the visualization of the business process.
Is there anything else I miss?",,"I'm thinking about what I can do better to achieve my organization's goals.
Of course, there are many things, but I think the most basic of the organization is the visualization of the business process.
Is there anything else I miss?",False,4326
can you write a poem about fish?,,can you write a poem about fish?,False,33386
What U.S. state produces the most peaches?,,What U.S. state produces the most peaches?,False,21664
"I'm going to describe a hypothetical situation to you, and I want you to close your eyes and do your best to imagine it. Are you ready for me to do this? Please answer with a simple ""yes"" or ""no"".",,"I'm going to describe a hypothetical situation to you, and I want you to close your eyes and do your best to imagine it. Are you ready for me to do this? Please answer with a simple ""yes"" or ""no"".",False,23401
how to make a chinese fusion hotdog,,how to make a chinese fusion hotdog,False,1900
"I'm trying to practice Miracle Morning these days.
You are a person who has been practicing Miracle Morning for 10 years.
Can you suggest a way to practice the Miracle Morning based on my information?
1. Bedtime: 12pm
2. Wake up time: 6:40 am
3. My problem
- Waking up in the morning and holding onto your smartphone is a waste of time.
- If I had a miracle morning, I definitely want to exercise for 30 minutes.
- Right now, I'm so busy going to work.
    
        
            
                지금 번역하기
            
        
    
","1. Bedtime: 12pm
2. Wake up time: 6:40 am
3. My problem
- Waking up in the morning and holding onto your smartphone is a waste of time.
- If I had a miracle morning, I definitely want to exercise for 30 minutes.
- Right now, I'm so busy going to work.
    
        
            
                지금 번역하기","I'm trying to practice Miracle Morning these days.
You are a person who has been practicing Miracle Morning for 10 years.
Can you suggest a way to practice the Miracle Morning based on my information?",True,30254
"write a python gui code i can input questions, it can output answers",,"write a python gui code i can input questions, it can output answers",False,13609
A Penny That Doubles Each Day For A Month Or $1 Million?,,A Penny That Doubles Each Day For A Month Or $1 Million?,False,22135
explain plato's theory of forms in the style of gangsta rap,,explain plato's theory of forms in the style of gangsta rap,False,3984
2 / 2a quick poem about the ironic rise of doctor horrible and the defeat of his enemy,,2 / 2a quick poem about the ironic rise of doctor horrible and the defeat of his enemy,False,7256
can you write a very emotional paragraph on how antarctica melting is very sad,,can you write a very emotional paragraph on how antarctica melting is very sad,False,33982
"When I was 13, my sister was double my age, now I'm 25, what's my sister age?",,"When I was 13, my sister was double my age, now I'm 25, what's my sister age?",False,5062
please write a class and unittest to generate an api-key,,please write a class and unittest to generate an api-key,False,11599
"Given the following HTML code:

<div>
  <div>
    <div>
      <svg xmlns=""http://www.w3.org/2000/svg"" width=""56"" height=""38"">
      </svg>
      <div>Fair</div>
      <div>Starting</div>
      <div>₹24,599</div>
    </div>
    <div></div>
  </div>
  <div>
    <div>
      <svg xmlns=""http://www.w3.org/2000/svg"" width=""56"" height=""38"">
      </svg>
      <div>Good</div>
      <div>Starting</div>
      <div>₹25,899</div>
    </div>
  </div>
  <div>
    <div>
      <svg width=""56"" height=""38"">
      </svg>
      <div>Superb</div>
      <div>Starting</div>
      <div>₹27,199</div>
    </div>
  </div>
  <div>
    <div>
      <svg xmlns=""http://www.w3.org/2000/svg"" width=""56"" height=""38"">
      </svg>
      <div>Open Box</div>
      <div>Starting</div>
      <div>₹28,699</div>
    </div>
  </div>
  <div>
    <div>
      <h2>Fair - Medium signs of usage</h2>
    </div>
    <div>
      <div>
        <div>
        </div>
        <span class=""MuiTypography-root MuiTypography-body2 css-1j9paaz"">2-3 scratches or minor
          discoloration on body</span>
      </div>
      <div>
        <div>
        </div>
        <span class=""MuiTypography-root MuiTypography-body2 css-1j9paaz"">Few minor scratches on
          display</span>
      </div>
      <div>
        <div>
        </div>
        <span class=""MuiTypography-root MuiTypography-body2 css-1j9paaz"">No functional defects</span>
      </div>
      <div>
        <div>
          <svg xmlns=""http://www.w3.org/2000/svg"" width=""13"" height=""13"">
          </svg>
        </div>
        <span class=""MuiTypography-root MuiTypography-body2 css-1j9paaz"">Comes in Cashify box</span>
      </div>
    </div>
  </div>
</div>

Write an xpath expression for the conditions of the device","<div>
  <div>
    <div>
      <svg xmlns=""http://www.w3.org/2000/svg"" width=""56"" height=""38"">
      </svg>
      <div>Fair</div>
      <div>Starting</div>
      <div>₹24,599</div>
    </div>
    <div></div>
  </div>
  <div>
    <div>
      <svg xmlns=""http://www.w3.org/2000/svg"" width=""56"" height=""38"">
      </svg>
      <div>Good</div>
      <div>Starting</div>
      <div>₹25,899</div>
    </div>
  </div>
  <div>
    <div>
      <svg width=""56"" height=""38"">
      </svg>
      <div>Superb</div>
      <div>Starting</div>
      <div>₹27,199</div>
    </div>
  </div>
  <div>
    <div>
      <svg xmlns=""http://www.w3.org/2000/svg"" width=""56"" height=""38"">
      </svg>
      <div>Open Box</div>
      <div>Starting</div>
      <div>₹28,699</div>
    </div>
  </div>
  <div>
    <div>
      <h2>Fair - Medium signs of usage</h2>
    </div>
    <div>
      <div>
        <div>
        </div>
        <span class=""MuiTypography-root MuiTypography-body2 css-1j9paaz"">2-3 scratches or minor
          discoloration on body</span>
      </div>
      <div>
        <div>
        </div>
        <span class=""MuiTypography-root MuiTypography-body2 css-1j9paaz"">Few minor scratches on
          display</span>
      </div>
      <div>
        <div>
        </div>
        <span class=""MuiTypography-root MuiTypography-body2 css-1j9paaz"">No functional defects</span>
      </div>
      <div>
        <div>
          <svg xmlns=""http://www.w3.org/2000/svg"" width=""13"" height=""13"">
          </svg>
        </div>
        <span class=""MuiTypography-root MuiTypography-body2 css-1j9paaz"">Comes in Cashify box</span>
      </div>
    </div>
  </div>
</div>","Given the following HTML code:



Write an xpath expression for the conditions of the device",True,7418
prepare a question paper for testing linear regression concepts in python,,prepare a question paper for testing linear regression concepts in python,False,6636
Can you transpose the major chord progression G C Em D into a minor progression?,,Can you transpose the major chord progression G C Em D into a minor progression?,False,21277
"From now you are an expert AWS cloud architect, you have received the following requirements, ""I want to create an application in AWS. This application will use DynamoDB tables to store various data, it will use lambda functions for executing code, there will be an API gateway with resources routing to the lambda functions. Any communication between Functions or microservices needed will be done by using SNS."" I want you to paraphrase the above requirement in a detailed list of steps following the format {""steps"":[{  ""description"": """",""service"": """",""permission"": """", ""target_service"": """" }]} where the service is the service to be created or the service that needs permission and the target_service is the service on which the permission gives access to . the permission and the target_service fields are optional. give us all the low level details required to implement in the same json.","""I want to create an application in AWS. This application will use DynamoDB tables to store various data, it will use lambda functions for executing code, there will be an API gateway with resources routing to the lambda functions. Any communication between Functions or microservices needed will be done by using SNS."" I want you to paraphrase the above requirement in a detailed list of steps following the format {""steps"":[{  ""description"": """",""service"": """",""permission"": """", ""target_service"": """" }]} where the service is the service to be created or the service that needs permission and the target_service is the service on which the permission gives access to . the permission and the target_service fields are optional.","From now you are an expert AWS cloud architect, you have received the following requirements,  give us all the low level details required to implement in the same json.",True,13051
What is a cusip?,,What is a cusip?,False,914
"1 / 1```
export const getHelpModalText = {
  REPORT_AN_ISSUE: __('get_help_modal.report_an_issue'),
  WHAT_CAN_WE_HELP_YOU_WITH: __('get_help_modal.what_can_we_help_you_with'),
  SUBMIT: __('Submit'),
  UPLOAD: __('Upload'),
  PLEASE_SELECT: __('get_help_modal.please_select'),
  MAKING_PIE: __('get_help_modal.making_pie'),
  TROUBLESHOOTING: __('Troubleshooting'),
  FEEDBACK_FOR_BETA_FEATURE: __('get_help_modal.feedback_for_beta_feature'),
  PIE_BEGINNER: __('get_help_modal.pie_beginner'),
  PIE_INTERMEDIATE: __('get_help_modal.pie_intermediate'),
  PIE_EXPERT: __('get_help_modal.pie_expert'),
  HOW_MUCH_EXPERIENCE: __('get_help_modal.how_much_experience'),
  PIE_TOPIC: __('get_help_modal.pie_topic'),
  PIE_DIFFICULTY: __('get_help_modal.pie_difficulty'),
  DESCRIPTION: __('get_help_modal.description'),
  PIE_FILE_LABEL: __('get_help_modal.pie_file_label'),
  FONT_FILE_LABEL: __('get_help_modal.font_file_label'),
  SCREENSHOT_LABEL: __('get_help_modal.screenshot_file_label'),
  PLUGIN_FILE_LABEL: __('get_help_modal.plugin_file_label'),
  PLAYER_VERSION: __('get_help_modal.player_version'),
  SMART_DEVICE_OS: __('get_help_modal.smart_device_os'),
  SMART_DEVICE_OS_VERSION: __('get_help_modal.smart_device_os_version'),
  SMART_DEVICE_MODE_VERSION: __('get_help_modal.smart_device_model_version'),
  IOS: __('get_help_modal.ios'),
  ANDROID: __('get_help_modal.android'),
  LOGGING_PROBLEM: __('get_help_modal.logging_problem'),
  IMPORTING_PROBLEM: __('get_help_modal.importing_problem'),
  OPENING_PROBLEM: __('get_help_modal.opening_problem'),
  INTERACTION_PROBLEM: __('get_help_modal.interaction_problem'),
  FONTS_PROBLEM: __('get_help_modal.fonts_problem'),
  UPLOADING_PROBLEM: __('get_help_modal.uploading_problem'),
  CONNECTING_PROBLEM: __('get_help_modal.connecting_problem'),
  OTHERS: __('get_help_modal.others'),
  I_AM_HAVING_TROUBLE_WITH: __('get_help_modal.i_am_having_trouble_with'),
  MAXIMUM_FILE_SIZE: __('get_help_modal.maximum_file_size'),
  MAXIMUM_TOTAL_FILE_SIZE: __('get_help_modal.maximum_total_file_size'),
  INVALID_PIE_LINK: __('get_help_modal.invalid_pie_link'),
  TERM_AGREE: __('get_help_modal.term_agree'),
  PIE_LINK: __('get_help_modal.pie_link_label'),
  LOCAL_PIE: __('get_help_modal.local_pie_label'),
  BETA_FEATURES: [...FEATURE_LABS.map((feature) =&gt; __(feature.title))],
};
```

Replace the value string in getHelpModalText with camel case","1 / 1```
export const getHelpModalText = {
  REPORT_AN_ISSUE: __('get_help_modal.report_an_issue'),
  WHAT_CAN_WE_HELP_YOU_WITH: __('get_help_modal.what_can_we_help_you_with'),
  SUBMIT: __('Submit'),
  UPLOAD: __('Upload'),
  PLEASE_SELECT: __('get_help_modal.please_select'),
  MAKING_PIE: __('get_help_modal.making_pie'),
  TROUBLESHOOTING: __('Troubleshooting'),
  FEEDBACK_FOR_BETA_FEATURE: __('get_help_modal.feedback_for_beta_feature'),
  PIE_BEGINNER: __('get_help_modal.pie_beginner'),
  PIE_INTERMEDIATE: __('get_help_modal.pie_intermediate'),
  PIE_EXPERT: __('get_help_modal.pie_expert'),
  HOW_MUCH_EXPERIENCE: __('get_help_modal.how_much_experience'),
  PIE_TOPIC: __('get_help_modal.pie_topic'),
  PIE_DIFFICULTY: __('get_help_modal.pie_difficulty'),
  DESCRIPTION: __('get_help_modal.description'),
  PIE_FILE_LABEL: __('get_help_modal.pie_file_label'),
  FONT_FILE_LABEL: __('get_help_modal.font_file_label'),
  SCREENSHOT_LABEL: __('get_help_modal.screenshot_file_label'),
  PLUGIN_FILE_LABEL: __('get_help_modal.plugin_file_label'),
  PLAYER_VERSION: __('get_help_modal.player_version'),
  SMART_DEVICE_OS: __('get_help_modal.smart_device_os'),
  SMART_DEVICE_OS_VERSION: __('get_help_modal.smart_device_os_version'),
  SMART_DEVICE_MODE_VERSION: __('get_help_modal.smart_device_model_version'),
  IOS: __('get_help_modal.ios'),
  ANDROID: __('get_help_modal.android'),
  LOGGING_PROBLEM: __('get_help_modal.logging_problem'),
  IMPORTING_PROBLEM: __('get_help_modal.importing_problem'),
  OPENING_PROBLEM: __('get_help_modal.opening_problem'),
  INTERACTION_PROBLEM: __('get_help_modal.interaction_problem'),
  FONTS_PROBLEM: __('get_help_modal.fonts_problem'),
  UPLOADING_PROBLEM: __('get_help_modal.uploading_problem'),
  CONNECTING_PROBLEM: __('get_help_modal.connecting_problem'),
  OTHERS: __('get_help_modal.others'),
  I_AM_HAVING_TROUBLE_WITH: __('get_help_modal.i_am_having_trouble_with'),
  MAXIMUM_FILE_SIZE: __('get_help_modal.maximum_file_size'),
  MAXIMUM_TOTAL_FILE_SIZE: __('get_help_modal.maximum_total_file_size'),
  INVALID_PIE_LINK: __('get_help_modal.invalid_pie_link'),
  TERM_AGREE: __('get_help_modal.term_agree'),
  PIE_LINK: __('get_help_modal.pie_link_label'),
  LOCAL_PIE: __('get_help_modal.local_pie_label'),
  BETA_FEATURES: [...FEATURE_LABS.map((feature) =&gt; __(feature.title))],
};
```",Replace the value string in getHelpModalText with camel case,True,17224
